;database_title;city;views;downloads;last_updated;download_link;description
0;2017 Official Election Results by Voting Station ; calgary  ;5868;378;2017-11-14 23:28:19+00:00;  https://data.calgary.ca/d/atsy-3a4w ;2017 Official Election Results by Voting Station - This dataset contains the election results by voting station for each ward in the 2017 General Election
1;Calgary Business Licenses ; calgary  ;4917;1607;2017-11-13 22:35:14+00:00;  https://data.calgary.ca/d/vdjc-pybd ;Calgary Business Licenses - This file includes the licensed businesses in the City of Calgary. Data fields include: Trade name, Business Location, Creation Date, Status, License Type and Community District of the business. All businesses created before October 7, 1994 reflect this date as their anniversary date.
2;Traffic Incidents ; calgary  ;1742;41824;2017-11-23 20:00:04+00:00;  https://data.calgary.ca/d/da7m-2x7g ;Traffic Incidents - Traffic incidents within The City of Calgary updated every 10 minutes. See Source URL for RSS feed
3;Voting Stations (Effective October 16,  2017) ; calgary  ;1478;50;2017-09-19 14:52:43+00:00;  https://data.calgary.ca/d/ps5q-maip ;Voting Stations (Effective October 16,  2017) - Voting station locations, valid for the October 16, 2017 election. More information can be found at the Elections Calgary website (see Source Link below)
4;Calgary Public Library Locations and Hours ; calgary  ;1358;78;2017-11-10 23:12:49+00:00;  https://data.calgary.ca/d/m9y7-ui7j ;Calgary Public Library Locations and Hours - A list of all Calgary Public Library locations and their hours of operation.
5;Parcel Address ; calgary  ;1321;241;2017-11-23 15:06:24+00:00;  https://data.calgary.ca/d/9zvu-p8uz ;Parcel Address - This file contains address information for land parcels within The City of Calgary.
6;Official Results - General Election 2017 ; calgary  ;1298;84;2017-10-20 19:42:08+00:00;  https://data.calgary.ca/d/wfy7-ea5g ;Official Results - General Election 2017 - Final results of the 2017 General Election. Mayoral results city-wide and by ward, Councillor results by ward, and School Board results by combined wards.
7;Historic Rainfall Data ; calgary  ;1154;46;2017-11-13 22:36:03+00:00;  https://data.calgary.ca/d/d9kv-swk3 ;Historic Rainfall Data - This is a measure of the rain accumulated at various rain gauges throughout the City during the rain season, which typically runs from May 1- Sep 30. Readings are taken at 5 minute intervals.
8;Fire Emergency Response Calls ; calgary  ;1021;103;2017-11-23 13:45:48+00:00;  https://data.calgary.ca/d/bdez-pds9 ;Fire Emergency Response Calls - This dataset contains daily count of incidents responded by incident type.
9;Development Permit Public Notices ; calgary  ;937;98;2017-11-23 15:04:59+00:00;  https://data.calgary.ca/d/8rd9-gix2 ;Development Permit Public Notices - The Development Permit Public Notices data set consists of development permits which have been made public. The City of Calgary is required by law to publish Development Permit information for two weeks.
